TCA,Trichloroacetic Acid (TCA),NCBI Pubchem: CID 6421,http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=6421&loc=ec_rcs
Acetone,Acetone,NCBI Pubchem: CID 180,http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=180&loc=ec_rcs
Tris,Tris,NCBI Pubchem: CID 6503,http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=6503&loc=ec_rcs
Phosphate buffered saline (PBS),Phosphate buffered saline (PBS),P4417 Sigma Aldrich,http://www.sigmaaldrich.com/catalog/product/sigma/p4417?lang=en&region=GB
Formaldehyde,Formaldehyde,NCBI Pubchem: CID 712,http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=712
Triton,Triton X-100,NCBI Pubchem: CID 5590,http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=5590
FBS,Fetal Bovine Serum (FBS),12003C Sigma Aldrich,http://www.sigmaaldrich.com/catalog/product/sigma/12003c?lang=en&region=GB
Goat serum,Goat serum,G9023 Sigma Aldrich,http://www.sigmaaldrich.com/catalog/product/sigma/g9023?lang=en&region=GB
Lectin,Lectin,N/A,http://www.usbio.net/catalog/Lectins
Hoechst,Hoechst,Life Technologies: 33342,https://www.lifetechnologies.com/order/catalog/product/H3570?ICID=search-product
DAPI ,DAPI ,Invitrogen: D1306,http://www.lifetechnologies.com/order/catalog/product/D1306?ICID=search-d1306
ProLong Gold ,ProLong Gold ,Invitrogen: P36930,https://www.lifetechnologies.com/order/catalog/product/P36930?ICID=search-p36930
Collagen Rat tail,Collagen Rat tail,C7661 Sigma Aldrich,http://www.sigmaaldrich.com/catalog/product/sigma/c7661?lang=en&region=GB
Acetic Acid,Acetic Acid,NCBI Pubchem: CID 176,http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=176&loc=ec_rcs
Poly-l-Lysine,Poly-l-Lysine : Hydrobromide ,P1274 Sigma Aldrich,http://www.sigmaaldrich.com/catalog/product/sigma/p1274?lang=en&region=GB
DMEM,DMEM media,D6046 Sigma Aldrich,http://www.sigmaaldrich.com/catalog/product/sigma/d6046?lang=en&region=GB
Bile aesculin plate,Bile Aesculin Plate,48300ÊSIGMA-ALDRICH,https://www.sigmaaldrich.com/catalog/product/sial/48300?lang=en&region=NG
